,Month,VV_mean,VV_std,VH_mean,VH_std
0,2018-01-01,0.11201824,0.04393538,0.022611951,0.01156293
1,2018-01-05,,,,
2,2018-01-09,,,,
3,2018-01-13,0.11514073,0.054360863,0.01816924,0.012656346
4,2018-01-17,,,,
5,2018-01-21,,,,
6,2018-01-25,0.088433474,0.037070777,0.021339515,0.011551854
7,2018-01-29,,,,
8,2018-02-01,,,,
9,2018-02-05,0.073766194,0.033030707,0.016682506,0.012661728
10,2018-02-09,,,,
11,2018-02-13,,,,
12,2018-02-17,0.09399501,0.049491353,0.017230766,0.008857477
13,2018-02-21,,,,
14,2018-02-25,,,,
15,2018-03-01,0.11157948,0.055617522,0.016148686,0.007991396
16,2018-03-05,,,,
17,2018-03-09,,,,
18,2018-03-13,,,,
19,2018-03-17,,,,
20,2018-03-21,,,,
21,2018-03-25,,,,
22,2018-03-29,,,,
23,2018-04-01,,,,
24,2018-04-05,0.1283579,0.06620661,0.020225229,0.012894245
25,2018-04-09,0.1283579,0.06620661,0.020225229,0.012894245
26,2018-04-13,,,,
27,2018-04-17,,,,
28,2018-04-21,,,,
29,2018-04-25,,,,
30,2018-04-29,0.117924385,0.062253512,0.019819532,0.0127844615
31,2018-05-01,0.117924385,0.062253512,0.019819532,0.0127844615
32,2018-05-05,,,,
33,2018-05-09,,,,
34,2018-05-13,,,,
35,2018-05-17,,,,
36,2018-05-21,,,,
37,2018-05-25,0.10485063,0.045227446,0.021562822,0.014781631
38,2018-05-29,,,,
39,2018-06-01,,,,
40,2018-06-05,0.15103187,0.05217471,0.020266641,0.012540073
41,2018-06-09,,,,
42,2018-06-13,,,,
43,2018-06-17,0.10510062,0.05469302,0.019277502,0.011664634
44,2018-06-21,,,,
45,2018-06-25,,,,
46,2018-06-29,0.10726262,0.07213447,0.0152354,0.011308943
47,2018-07-01,0.10726262,0.07213447,0.0152354,0.011308943
48,2018-07-05,,,,
49,2018-07-09,,,,
50,2018-07-13,0.2919746,0.0986915,0.03816811,0.015597374
51,2018-07-17,,,,
52,2018-07-21,,,,
53,2018-07-25,0.29485372,0.17715086,0.052003145,0.032909747
54,2018-07-29,,,,
55,2018-08-01,,,,
56,2018-08-05,0.12569593,0.044082735,0.02066756,0.010208564
57,2018-08-09,,,,
58,2018-08-13,,,,
59,2018-08-17,0.25316605,0.0985222,0.03982314,0.022601916
60,2018-08-21,,,,
61,2018-08-25,,,,
62,2018-08-29,0.16438219,0.073939085,0.042355876,0.028453603
63,2018-09-01,,,,
64,2018-09-05,,,,
65,2018-09-09,0.20764679,0.080874875,0.061012052,0.03340708
66,2018-09-13,,,,
67,2018-09-17,,,,
68,2018-09-21,0.26413104,0.12113151,0.075520895,0.034150552
69,2018-09-25,,,,
70,2018-09-29,,,,
71,2018-10-01,,,,
72,2018-10-05,0.11700925,0.06907995,0.02600794,0.016363164
73,2018-10-09,,,,
74,2018-10-13,,,,
75,2018-10-17,0.11565915,0.047212727,0.020617401,0.01358503
76,2018-10-21,,,,
77,2018-10-25,,,,
78,2018-10-29,0.15048209,0.075089045,0.01739217,0.012049338
79,2018-11-01,,,,
80,2018-11-05,,,,
81,2018-11-09,0.09128164,0.053572163,0.011916608,0.008705066
82,2018-11-13,,,,
83,2018-11-17,,,,
84,2018-11-21,0.137323,0.06275814,0.017564084,0.010714367
85,2018-11-25,,,,
86,2018-11-29,,,,
87,2018-12-01,0.11974356,0.047396358,0.015815062,0.010382049
88,2018-12-05,0.11974356,0.047396358,0.015815062,0.010382049
89,2018-12-09,,,,
90,2018-12-13,0.21021941,0.1460432,0.021959933,0.014720007
91,2018-12-17,0.21021941,0.1460432,0.021959933,0.014720007
92,2018-12-21,,,,
93,2018-12-25,0.15628818,0.08583539,0.024752975,0.014383879
94,2018-12-29,0.15628818,0.08583539,0.024752975,0.014383879
95,2019-01-01,,,,
96,2019-01-05,,,,
97,2019-01-09,0.09481093,0.03828629,0.01932033,0.01728651
98,2019-01-13,,,,
99,2019-01-17,,,,
100,2019-01-21,0.08768319,0.054986726,0.025664734,0.014972526
101,2019-01-25,,,,
102,2019-01-29,,,,
103,2019-02-01,0.08033412,0.028241372,0.015625212,0.0107377125
104,2019-02-05,,,,
105,2019-02-09,,,,
106,2019-02-13,,,,
107,2019-02-17,,,,
108,2019-02-21,,,,
109,2019-02-25,0.10901717,0.06852771,0.05014058,0.0485516
110,2019-03-01,,,,
111,2019-03-05,,,,
112,2019-03-09,0.09474215,0.05544835,0.034043837,0.025973598
113,2019-03-13,,,,
114,2019-03-17,,,,
115,2019-03-21,0.092164755,0.049730465,0.016349012,0.01124812
116,2019-03-25,,,,
117,2019-03-29,,,,
118,2019-04-01,,,,
119,2019-04-05,,,,
120,2019-04-09,,,,
121,2019-04-13,,,,
122,2019-04-17,,,,
123,2019-04-21,,,,
124,2019-04-25,0.10034535,0.06053172,0.017335407,0.010826622
125,2019-04-29,,,,
126,2019-05-01,,,,
127,2019-05-05,,,,
128,2019-05-09,,,,
129,2019-05-13,,,,
130,2019-05-17,,,,
131,2019-05-21,,,,
132,2019-05-25,,,,
133,2019-05-29,,,,
134,2019-06-01,0.10041547,0.055438798,0.02167484,0.0114112785
135,2019-06-05,,,,
136,2019-06-09,,,,
137,2019-06-13,,,,
138,2019-06-17,,,,
139,2019-06-21,,,,
140,2019-06-25,,,,
141,2019-06-29,,,,
142,2019-07-01,,,,
143,2019-07-05,,,,
144,2019-07-09,,,,
145,2019-07-13,,,,
146,2019-07-17,,,,
147,2019-07-21,,,,
148,2019-07-25,,,,
149,2019-07-29,,,,
150,2019-08-01,,,,
151,2019-08-05,,,,
152,2019-08-09,,,,
153,2019-08-13,0.28076762,0.13286658,0.04171382,0.018631967
154,2019-08-17,,,,
155,2019-08-21,,,,
156,2019-08-25,0.34744683,0.21024667,0.051482603,0.025746742
157,2019-08-29,,,,
158,2019-09-01,,,,
159,2019-09-05,0.30944687,0.14173023,0.047935683,0.03122487
160,2019-09-09,,,,
161,2019-09-13,,,,
162,2019-09-17,0.28326702,0.106015556,0.04564947,0.02141657
163,2019-09-21,,,,
164,2019-09-25,,,,
165,2019-09-29,0.27134547,0.119348444,0.049821798,0.024482384
166,2019-10-01,0.27134547,0.119348444,0.049821798,0.024482384
167,2019-10-05,0.1834052,0.07822097,0.045773778,0.020425512
168,2019-10-09,0.1842917,0.097690955,0.030110683,0.017531289
169,2019-10-13,0.1842917,0.097690955,0.030110683,0.017531289
170,2019-10-17,0.13964917,0.09117097,0.027961073,0.015804527
171,2019-10-21,,,,
172,2019-10-25,,,,
173,2019-10-29,0.14827512,0.112056576,0.019211238,0.013300775
174,2019-11-01,,,,
175,2019-11-05,0.17116943,0.07357699,0.026246864,0.014150225
176,2019-11-09,0.17526346,0.088730685,0.021176478,0.008522171
177,2019-11-13,,,,
178,2019-11-17,0.16276439,0.08129961,0.017169606,0.0075995857
179,2019-11-21,0.24243116,0.168697,0.021428367,0.010250079
180,2019-11-25,,,,
181,2019-11-29,0.29663688,0.18780312,0.03815446,0.01964262
182,2019-12-01,,,,
183,2019-12-05,0.16009882,0.07791111,0.025849998,0.011563909
184,2019-12-09,0.09871708,0.058352202,0.023110792,0.012641416
185,2019-12-13,,,,
186,2019-12-17,0.11229894,0.06585439,0.024526654,0.010669133
187,2019-12-21,0.12747078,0.06909902,0.023971142,0.017696999
188,2019-12-25,,,,
189,2019-12-29,0.1079404,0.05530378,0.024723835,0.013617984
190,2020-01-01,0.10477566,0.047879547,0.020066446,0.012636611
191,2020-01-05,0.10477566,0.047879547,0.020066446,0.012636611
192,2020-01-09,0.09630623,0.04936434,0.018993616,0.0094761215
193,2020-01-13,0.094867855,0.047979843,0.021910174,0.012895072
194,2020-01-17,0.094867855,0.047979843,0.021910174,0.012895072
195,2020-01-21,0.084865175,0.0500742,0.019372089,0.010687212
196,2020-01-25,0.07738967,0.03234567,0.017882682,0.012556126
197,2020-01-29,0.07738967,0.03234567,0.017882682,0.012556126
198,2020-02-01,,,,
199,2020-02-05,,,,
200,2020-02-09,0.075932615,0.054082014,0.02010857,0.014395316
201,2020-02-13,,,,
202,2020-02-17,,,,
203,2020-02-21,0.0821821,0.061055515,0.022661483,0.014833801
204,2020-02-25,,,,
205,2020-02-29,,,,
206,2020-03-01,0.07386299,0.046873517,0.027341606,0.016574133
207,2020-03-05,0.07386299,0.046873517,0.027341606,0.016574133
208,2020-03-09,,,,
209,2020-03-13,0.09463403,0.061765,0.016725676,0.010827406
210,2020-03-17,0.09463403,0.061765,0.016725676,0.010827406
211,2020-03-21,,,,
212,2020-03-25,0.123980455,0.053247627,0.022260241,0.012931325
213,2020-03-29,0.123980455,0.053247627,0.022260241,0.012931325
214,2020-04-01,,,,
215,2020-04-05,,,,
216,2020-04-09,0.101992786,0.076424845,0.015551542,0.014202033
217,2020-04-13,,,,
218,2020-04-17,,,,
219,2020-04-21,0.08670121,0.03243816,0.015336962,0.013395315
220,2020-04-25,,,,
221,2020-04-29,,,,
222,2020-05-01,0.12582739,0.047682907,0.015510538,0.011265417
223,2020-05-05,,,,
224,2020-05-09,,,,
225,2020-05-13,0.13724726,0.04955072,0.02164084,0.010721734
226,2020-05-17,,,,
227,2020-05-21,,,,
228,2020-05-25,0.12646134,0.046603605,0.021490669,0.011217673
229,2020-05-29,,,,
230,2020-06-01,,,,
231,2020-06-05,0.16382869,0.107100755,0.016018936,0.012733391
232,2020-06-09,0.16382869,0.107100755,0.016018936,0.012733391
233,2020-06-13,,,,
